texto,Comando
bom dia robô,Acordar
boa tarde robô,Acordar
boa noite robô,Acordar
bom dia cara,Acordar
acorda aí,Acordar
vejo você amanhã,Dormir
por favor durma,Dormir
vai dormir bonita,Dormir
puxe um ronco,Dormir
vamos nanar,Dormir
vamos dormir ,Dormir
descansar,Dormir
para de encher meu saco,Dormir
bons sonhos,Dormir
ta na hora de dormir,Dormir
você precisa descansar,Dormir
robô está na hora de ir dormir,Dormir
pra cama agora,Dormir
descanse,Dormir
vai dormir,Dormir
dorme ,Dormir
bons sonhos robô,Dormir
até mais,Dormir
até mais tarde,Dormir
vamos dormir robô,Dormir
robô descansar ,Dormir
tchau robô,Dormir
boa noite robô ,Dormir
vamos dormir ,Dormir
a mimir robô,Dormir
durma bem,Dormir
vamos dormir,Dormir
boa noite,Dormir
tchau,Dormir
desativar,Dormir
bye,Dormir
desligar ,Dormir
tenha bons sonhos,Dormir
já está tarde hora de dormir,Dormir
desligar,Dormir
vai deitar,Dormir
dormir robô ,Dormir
hora de dormir,Dormir
bom sonhos,Dormir
hora de nanar,Dormir
hora de dormir,Dormir
dormir,Dormir
desativar,Dormir
vai dormir ,Dormir
vamos nanar,Dormir
hora de descansar robô,Dormir
descansa robô,Dormir
vai lá tirar um sono então man,Dormir
robô descansar,Dormir
agora é hora de ir pra cama,Dormir
vá dormir,Dormir
vai nanar,Dormir
hora da soneca,Dormir
boa noite robô,Dormir
bom descanso ,Dormir
já está na hora de dormir,Dormir
hora de dormir robô,Dormir
boa noite robo,Dormir
descansar ,Dormir
hora do cochilo,Dormir
vá dormir ,Dormir
obrigada até mais,Dormir
robô vai dormir,Dormir
descansar,Dormir
até logo,Dormir
até mais tarde,Dormir
até amanhã,Dormir
ei robo entrar em modo de inconsciência mental,Dormir
volte a dormir,Dormir
robô desligue ,Dormir
desligue,Dormir
vai nanar robô,Dormir
já está no horário de dormir,Dormir
durma,Dormir
já passou da hora de robô estar acordado,Dormir
desligar,Dormir
tá na hora de dar tchau,Dormir
dormir,Dormir
é hora de você dormir,Dormir
hora de nanar,Dormir
dorme robô,Dormir
boa noite mano até depois,Dormir
vá dormir por favor,Dormir
durma robô,Dormir
boa noite ,Dormir
dormir robô,Dormir
robo modo economia de energia,Dormir
tchau    ,Dormir
volte a dormir,Dormir
robô dorme,Dormir
ativar modo sono da beleza,Dormir
boa noite  nome do robo ,Dormir
ei robô descansar,Dormir
durma,Dormir
tchau robô,Dormir
circulando,Girar
da uma girada,Girar
dá um trezentos e sessenta,Girar
tem como dar uma giradinha,Girar
tem como dar uma rodadinha,Girar
dê meia volta,Girar
roda roda vira,Girar
da uma voltinha robô,Girar
roda,Girar
robô dê uma volta,Girar
vire,Girar
faz a volta,Girar
faz um rodopio,Girar
dá um giro,Girar
de uma volta robô,Girar
gira,Girar
robô rotacione ,Girar
gira gira ,Girar
dá uma voltinha,Girar
girar,Girar
gire no eixo y,Girar
uau ta chique,Girar
rodar,Girar
rodopiar,Girar
girar,Girar
gira um pouquinho para ver como está,Girar
dê uma volta,Girar
faz um trezentos e sessenta,Girar
gira gira gira girou,Girar
girar robô ,Girar
robô dê um giro,Girar
beyblade let it rip,Girar
roda aê,Girar
gira aê,Girar
gire,Girar
da um flip,Girar
uma giradinha,Girar
da uma giradinha,Girar
dá uma rodadinha para a gente,Girar
rotaciona,Girar
robô girar,Girar
dá uma volta,Girar
gira,Girar
da uma piruleta,Girar
gira robô gira,Girar
gire robô,Girar
girar para a direita,Girar
girar para a esquerda,Girar
robo faz um 360 backflip ai,Girar
de uma volta,Girar
gira aí,Girar
faz uma pirueta,Girar
vira um 360,Girar
robô dá uma volta ,Girar
poderia girar seu corpo por favor,Girar
da uma voltinha namoral,Girar
rebola,Girar
rodar,Girar
rode,Girar
ei robô hora da revolução,Girar
da uma volta,Girar
robô gire no próprio eixo ,Girar
girando,Girar
rode,Girar
pode dar uma voltinha para ver como ficou,Girar
rotacione,Girar
dá uma voltinha aí,Girar
da uma volta robô ,Girar
robô dá uma giradinha,Girar
dá uma voltinha/rodadinha,Girar
dá uma rodadinha,Girar
uma voltinha,Girar
robô faz uma manobra,Girar
gira pra a gente por favor,Girar
dá uma giradinha,Girar
deixa eu ver da uma voltinha,Girar
dá um trezentos e sessenta aí por favor,Girar
robô rodopiar,Girar
gire para esquerda,Girar
gire para direita,Girar
da uma voltinha ,Girar
dá uma rodadinha,Girar
dance robô,Girar
dá uma volta ,Girar
você pode rodopiar,Girar
gire para a direita,Girar
gire para a esquerda,Girar
roda roda do robô,Girar
robô girar ,Girar
da um girinho,Girar
gira ,Girar
robô gire,Girar
dê uma voltinha,Girar
ta bonitão,Girar
por gentileza senhor robô poderia girar ,Girar
gira,Girar
gire ao seu redor ,Girar
faz uns drift aí,Girar
agora levante os braços,Levantar braços
mãos ao alto,Levantar braços
mãos para o alto,Levantar braços
eba,Levantar braços
robô levante os braços,Levantar braços
é um assalto,Levantar braços
mão pra cima,Levantar braços
mãos ao alto,Levantar braços
joga os braços pra cima ,Levantar braços
levante os braços por favor,Levantar braços
ponha as mãos aonde eu possa ver,Levantar braços
robô me mostre os seus braços,Levantar braços
levanta os braços robô,Levantar braços
mãos para cima,Levantar braços
bora os braços pro alto ,Levantar braços
levante os braços,Levantar braços
levanta os braços,Levantar braços
levanta os braços aí por favor mano,Levantar braços
mãos pra cima,Levantar braços
erga os braços,Levantar braços
isso é um assalto,Levantar braços
mãos pro alto,Levantar braços
levanta a mão,Levantar braços
levanta os braços,Levantar braços
levante seus braços,Levantar braços
levante os braços robô,Levantar braços
levante os braços ,Levantar braços
robo preciso da sua energia pra criar uma genki dama,Levantar braços
hands up,Levantar braços
mãos pra cima ,Levantar braços
robô levante seus braços ,Levantar braços
levantar braços,Levantar braços
mostrar as axilas,Levantar braços
em cima ,Levantar braços
ei robô mãos para cima,Levantar braços
levanta as mãos,Levantar braços
levanta os dois braços ,Levantar braços
braços pra cima,Levantar braços
mão pra cima,Levantar braços
presente,Levantar braços
bota a mão pra cima,Levantar braços
braços para o ar,Levantar braços
vou te pegar no colo robô ,Levantar braços
mãos ariba,Levantar braços
erga os braços,Levantar braços
erga os bracinhos  ,Levantar braços
levanta os braços ,Levantar braços
deixa eu ver se ta fedendo,Levantar braços
mãos ao alto cowboy,Levantar braços
ergue os braços,Levantar braços
estica os braços pra cima,Levantar braços
levanta a mão,Levantar braços
braços para cima,Levantar braços
ihuuuuu ,Levantar braços
bracinhos pra cima,Levantar braços
levante suas mãos ,Levantar braços
mãozinhas pra cima,Levantar braços
erguei as mãos e dai glória a deus,Levantar braços
parado isso é um assalto,Levantar braços
mãos para o alto,Levantar braços
joga a mão pro alto,Levantar braços
high five,Levantar braços
robô levantar braços ,Levantar braços
mostra o suvaco aí,Levantar braços
levante as mãos ,Levantar braços
alçar ,Levantar braços
ei mãos para o alto,Levantar braços
mãos ao alto ,Levantar braços
put your hands up in the air,Levantar braços
conta outra,Piada
me diga algo engraçado,Piada
me conta uma piada,Piada
robô me faça rir,Piada
lança uma piadoca robozinho,Piada
tem alguma piada aí na manga,Piada
me faça rir ,Piada
manda uma boa,Piada
me conte uma piada,Piada
você sabe alguma piada,Piada
conta uma piada,Piada
diga algo engraçado,Piada
conta aquela boa mano,Piada
hora da piada,Piada
me conte algo engraçado,Piada
conte uma história engraçada,Piada
você conhece alguma piada,Piada
fala um trocadilho,Piada
me faça rir  robô,Piada
diz algo engraçado ,Piada
você pode me fazer feliz,Piada
robô qual piada a alexa te contou ,Piada
robo modo engraçadão,Piada
robo modo engraçado,Piada
me entretenha ,Piada
voce sabe alguma piada,Piada
fala algo engraçado,Piada
faça me rir,Piada
me faz rir,Piada
to meio pra baixo me anima ai por favor,Piada
bora chalacear ,Piada
me divirta,Piada
ei robô me mostre um pouco de seu senso de humor,Piada
me faça rir,Piada
faça-me rir,Piada
conta algo engraçado,Piada
conte uma piada,Piada
agora é sua vez de me contar uma piada vamos lá me faça rir,Piada
uma gracinha,Piada
robô me faça uma piada,Piada
robô me conte uma piada,Piada
me conte uma piada ,Piada
conta uma piada ,Piada
robô me conta algo engraçado,Piada
fala alguma coisa engraçada,Piada
fala algo engraçado ,Piada
me conta uma piada man,Piada
conta uma piada pra gente,Piada
me conte uma piada robô,Piada
me conta uma piada ,Piada
robô conte me uma piada ,Piada
robô conte uma piada,Piada
lança a braba,Piada
conta uma piadita ,Piada
senhor robô poderia me contar uma piada,Piada
robô lança uma pra eu rir,Piada
sorta uma boa pa nois aí,Piada
como se chama,Falar o nome
dom pedro primeiro,Falar o nome
como eu posso te chamar,Falar o nome
qual o seu nome,Falar o nome
qual o nome do dom pedro primeiro,Falar o nome
qual seu nome,Falar o nome
você tem nome,Falar o nome
como você se chama,Falar o nome
quem é,Falar o nome
você tem um nome,Falar o nome
qual é o seu nome,Falar o nome
fala seu nome,Falar o nome
como você chama,Falar o nome
quem é você,Falar o nome
como você se chama ,Falar o nome
como te chamam,Falar o nome
e aí passa o número de série,Falar o nome
se identifique,Falar o nome
me diz o seu nome,Falar o nome
diz seu nome,Falar o nome
e seu nome,Falar o nome
como você se chama ,Falar o nome
qual o seu apelido,Falar o nome
como posso te chamar,Falar o nome
você tem nome,Falar o nome
ei elemento se identifique,Falar o nome
como posso te chamar,Falar o nome
tem nome não,Falar o nome
fale o seu nome,Falar o nome
me conta seu nome,Falar o nome
me fale o seu nome,Falar o nome
primeiro imperador do brasil,Falar o nome
robô qual o nome completo de dom pedro primeiro,Falar o nome
qual o nome completo de dom pedro primeiro,Falar o nome
e aí gata tem zap,Falar o nome
qual teu nome,Falar o nome
como voce se chama,Falar o nome
qual o seu nome robô,Falar o nome
como voce chama,Falar o nome
robo identifique-se,Falar o nome
se apresente,Falar o nome
qual o seu nome ,Falar o nome
ei robô fazer apresentação formal,Falar o nome
como posso te chamar,Falar o nome
está bem,Está bem
como você anda,Está bem
como você está,Está bem
como você está robô,Está bem
tranquilo ,Está bem
como cê tá,Está bem
como vai,Está bem
tudo certo,Está bem
e aí tudo bom,Está bem
como anda,Está bem
você está bem,Está bem
como estão as coisas,Está bem
como vai,Está bem
como anda a vida,Está bem
como vai a vida,Está bem
tudo bem,Está bem
qual seu estado emocional hoje,Está bem
e aí beleza,Está bem
algum problema,Está bem
como você está ,Está bem
está tudo certo com você,Está bem
o que se passa,Está bem
robô detectar falhas,Está bem
hoje você está ,Está bem
como vão as coisas ,Está bem
tudo show,Está bem
como andam as coisas,Está bem
beleza,Está bem
como está se sentindo,Está bem
como você ta,Está bem
aooba bão,Está bem
tudo bem,Está bem
como você tá se sentindo,Está bem
como você está hoje,Está bem
tutupom,Está bem
como tá a vida aí fera,Está bem
ta tudo bem contigo,Está bem
como vai você,Está bem
robô você tá bem,Está bem
suave,Está bem
ta tudo bem,Está bem
ta tudo ok,Está bem
como você esta,Está bem
tranquilo,Está bem
como foi o seu dia,Está bem
você tá bem,Está bem
tá tudo bem,Está bem
tudo certinho,Está bem
como você tá,Está bem
beleza mano,Está bem
robo como está tudo bem,Está bem
como você está,Está bem
tudo bem com você,Está bem
como você esta robô,Está bem
como você está,Está bem
como você anda,Está bem
você está bem ,Está bem
robô verificando estado,Está bem
tudo bem ,Está bem
tá tudo bem,Está bem
bem,Está bem
tudo em riba,Está bem
ok robô,Está bem
como você está se sentindo,Está bem
como ce ta,Está bem
tudo beleza,Está bem
está se sentido bem hoje,Está bem
como está,Está bem
ta tudo bem robô,Está bem
bão,Está bem
tudo bem com voce,Está bem
e aí beleza,Está bem
você tá bem,Está bem
você está bem,Está bem
algo de errado,Está bem
como você se sente robô,Está bem
robo reportar status,Está bem
como vai ,Está bem
voce está bem,Está bem
como você ta hoje,Está bem
ei robô tudo em cima,Está bem
tudo na paz,Está bem
está tudo bem,Está bem
tá tranquilo e favorável,Está bem
tudo ok,Está bem
apresente-se,Apresentar
quem é você mesmo,Apresentar
me conta a tua história,Apresentar
quem é você robô,Apresentar
robô se apresente,Apresentar
,Apresentar
se apresente,Apresentar
conte quem você é,Apresentar
poderia se apresentar,Apresentar
como é a sua vida,Apresentar
quem é você ,Apresentar
te conheço,Apresentar
você é,Apresentar
se apresenta ai,Apresentar
oi eu não te conheço,Apresentar
fala um pouco sobre você,Apresentar
se apresente,Apresentar
robô se apresente para mim,Apresentar
quem é você,Apresentar
fale sobre você,Apresentar
ainda não te conheço,Apresentar
fale sobre você,Apresentar
me conte sobre você robô,Apresentar
você é,Apresentar
robo verificar identidade,Apresentar
quem é você robô,Apresentar
hora da apresentaçao menor,Apresentar
me fala de você,Apresentar
se apresente por favor,Apresentar
qual seu nome,Apresentar
e você se chama,Apresentar
conte sobre você,Apresentar
me conta sobre você,Apresentar
prazer sou amiguinho,Apresentar
me fale sobre você,Apresentar
me fala sobre você,Apresentar
me conte sobre voce,Apresentar
muito prazer,Apresentar
você poderia se apresentar,Apresentar
se apresente robô,Apresentar
fale um pouco sobre você,Apresentar
me fala mais sobre você,Apresentar
não seja mal educado se apresente,Apresentar
quer se apresentar,Apresentar
falando sobre projeto semear,Falar sobre SEMEAR
defina semear,Falar sobre SEMEAR
quem é semear,Falar sobre SEMEAR
o que faz o semear,Falar sobre SEMEAR
o que é o semear robô,Falar sobre SEMEAR
robô me conte sobre o grupo semear,Falar sobre SEMEAR
o que é semear,Falar sobre SEMEAR
quem é semear,Falar sobre SEMEAR
de onde você é,Falar sobre SEMEAR
me conte sobre o seu criador,Falar sobre SEMEAR
quem é o seu pai,Falar sobre SEMEAR
me conta sobre o semear,Falar sobre SEMEAR
fala um pouco desse grupo incrível chamado semear ,Falar sobre SEMEAR
conte sobre o semear,Falar sobre SEMEAR
você conhece o semear,Falar sobre SEMEAR
o que é semear,Falar sobre SEMEAR
o que é o semear,Falar sobre SEMEAR
fale um pouco sobre o semear por favor,Falar sobre SEMEAR
o que é o semear,Falar sobre SEMEAR
me conte sobre o semear,Falar sobre SEMEAR
qual seu trabalho,Falar sobre SEMEAR
o que é o semear,Falar sobre SEMEAR
me conte sobre o semear,Falar sobre SEMEAR
você poderia falar sobre o semear,Falar sobre SEMEAR
fale um pouco sobre o semear,Falar sobre SEMEAR
o que você sabe sobre o semear,Falar sobre SEMEAR
robo vamos semar o conhecimento,Falar sobre SEMEAR
criador,Falar sobre SEMEAR
pra quem você trabalha ,Falar sobre SEMEAR
me conta sobre o semear,Falar sobre SEMEAR
me fala do um pouquinho do semear,Falar sobre SEMEAR
me conte sobre o semear,Falar sobre SEMEAR
conte-me sobre o semear,Falar sobre SEMEAR
semeie,Falar sobre SEMEAR
semear,Falar sobre SEMEAR
ei robô conte-me sobre seu planeta de origem,Falar sobre SEMEAR
fale sobre o semear,Falar sobre SEMEAR
fale um pouco dos seus criadores,Falar sobre SEMEAR
o que é o semear,Falar sobre SEMEAR
fale sobre a semear,Falar sobre SEMEAR
falando sobre projeto ada,Falar sobre ADA
defina ada,Falar sobre ADA
por que ada,Falar sobre ADA
o que é a ada,Falar sobre ADA
o que é a ada robô,Falar sobre ADA
quem é ada,Falar sobre ADA
o que é a ada,Falar sobre ADA
voce conhece a ada,Falar sobre ADA
você é cria de quem ,Falar sobre ADA
me conte sobre sua criadora,Falar sobre ADA
quem é a sua mãe,Falar sobre ADA
o que é a ada,Falar sobre ADA
fala um pouco da ada,Falar sobre ADA
conte sobre a ada,Falar sobre ADA
o que é ada,Falar sobre ADA
fale um pouco sobre o ada por favor,Falar sobre ADA
você conhece a ada,Falar sobre ADA
me conte sobre a ada,Falar sobre ADA
o que é a ada,Falar sobre ADA
me conte sobre a ada,Falar sobre ADA
quem é ada,Falar sobre ADA
fale sobre a ada,Falar sobre ADA
fale um pouco sobre a ada,Falar sobre ADA
o que você sabe sobre o ada,Falar sobre ADA
ada,Falar sobre ADA
me conte uma curiosidade tecnológica,Falar sobre ADA
me conta sobre a ada,Falar sobre ADA
me fala um pouquinho da ada,Falar sobre ADA
quem foi ada,Falar sobre ADA
quem você admira,Falar sobre ADA
programadora,Falar sobre ADA
ada,Falar sobre ADA
ei robô qual agência especial você faz parte,Falar sobre ADA
fale sobre o ada,Falar sobre ADA
fale sobre a ada,Falar sobre ADA
quem é ada,Falar sobre ADA
ouvir,Música
você sabe cantar,Música
canta aí,Música
robô cante uma canção para mim,Música
bora uma batalha de rima,Música
sabe cantar,Música
cante ,Música
agrade os meus ouvidos,Música
cantarole,Música
você sabe alguma canção,Música
solta a voz,Música
canta aí ,Música
solta a voz aí,Música
qual é a sua musica preferida,Música
e esse gogó aí hein,Música
toque,Música
cante alguma coisa,Música
lança a braba,Música
som na caixa,Música
quem canta os males espanta,Música
pode me cantar uma musica,Música
cante uma canção ,Música
toca uma música,Música
robo solta uma palhinha ai pa nois,Música
me divirta,Música
me ve uma canção,Música
canta pra mim,Música
solta o som,Música
você sabe cantar a música   ,Música
faz um som para nós,Música
cante,Música
cante uma música,Música
canta comigoo,Música
hora do show,Música
dá uma palhinha,Música
quero ouvir uma música,Música
cante uma música ,Música
manda uma sofrência aí por favor,Música
canta pra gente,Música
finge que ta no the voice,Música
pode cantar para mim,Música
cante,Música
me recomende uma musica,Música
canta uma moda pra nós,Música
robô cante pra mim,Música
robô cante uma música,Música
lança uma rima,Música
dá uma palhinha pra nós,Música
pode cantar uma música pra gente,Música
pode cantar uma música pra mim,Música
canta uma música,Música
voce conhece alguma musica,Música
manda a braba,Música
canta um pouco para a gente,Música
canta uma música pra mim,Música
cante uma música para mim,Música
dá uma palhinha pra gente,Música
cante uma musica,Música
cante algo,Música
hora da cantoria,Música
cante uma musica robo,Música
canta para mim,Música
cante uma musica ,Música
toca o som dj,Música
music start,Música
conta pra mim,Música
canta alguma coisa,Música
robô cante a música   ,Música
canta,Música
canta ai,Música
cante para mim,Música
ai robozão solta o pancadão,Música
cante uma musica,Música
canta alguma música,Música
por favor soletre a palavra ,Soletrar
soletrei,Soletrar
como se escreve,Soletrar
robô soletre  palavra ,Soletrar
robô soletre a palavra,Soletrar
você poderia soletrar  ,Soletrar
soletre a palavra,Soletrar
soletre corretamente a palavra,Soletrar
você pode soletrar a palavra,Soletrar
como se escreve,Soletrar
pode soletrar uma palavra para mim,Soletrar
soletra por favor,Soletrar
soletre ,Soletrar
soletra pra mim por favor,Soletrar
robo como escreve,Soletrar
soletra pra mim a palavra   ,Soletrar
soletre  palavra ,Soletrar
soletre,Soletrar
vamos lá soletrando,Soletrar
soletre para mim  ,Soletrar
soletre,Soletrar
soletre a palavra,Soletrar
você pode soletrar,Soletrar
como se soletra,Soletrar
soletre palavra ,Soletrar
soletre a palavra,Soletrar
soletra,Soletrar
robô soletre   ,Soletrar
soletre a palavra,Soletrar
soletra pra mim  a palavra ,Soletrar
ei robo soletre esta palavra,Soletrar
soletre a palavra,Soletrar
pode soletrar uma palavra,Soletrar
como posso soletrar,Soletrar
como se escreve,Soletrar
como se soletra a palavra,Soletrar
soletrandoo valendo 1 milhão de reais,Soletrar
soletra  pra mim,Soletrar
sabe soletrar,Soletrar
então soletra,Soletrar
como se escreve a palavra,Soletrar
soletre palavra por favor,Soletrar
me ajuda a soletrar uma palavra,Soletrar
robo soletre a palavra  para  mim,Soletrar
como escrevo,Soletrar
como soletra,Soletrar
pode me soletrar  ,Soletrar
como se escreve,Soletrar
robo como escreve,Soletrar
como que soletra,Soletrar
e como se soletra,Soletrar
hora de soletrar,Soletrar
como se escreve a palavra,Soletrar
como se soletra,Soletrar
dance agora,Dançar
dance,Dançar
rebola,Dançar
sacode o esqueleto aí,Dançar
dance pra mim robô ,Dançar
robô dance,Dançar
começou o baile,Dançar
sabe dançar,Dançar
sabe mexer o esqueleto,Dançar
mexe o esqueleto,Dançar
bora dançar,Dançar
dança gatinho dança,Dançar
você sabe dançar,Dançar
quero ver você dançar,Dançar
mexe o corpinho ,Dançar
dança robô,Dançar
você dança mano,Dançar
robô dance comigo,Dançar
manda um passinho,Dançar
dança robozinho dança,Dançar
dance para mim robô,Dançar
dança,Dançar
dance ,Dançar
vamos dançar,Dançar
é hora da festa,Dançar
robô faz uns passinho ,Dançar
dança pra eu ver,Dançar
manda o passinho,Dançar
dança gatinhoo dança ,Dançar
solta a lataria,Dançar
ei robo coloque suas articulações hidráulicas em movimento,Dançar
dance,Dançar
dança comigo,Dançar
sabe dançar,Dançar
solta o corpo,Dançar
requebre,Dançar
quero ver a dancinha,Dançar
vem dançar,Dançar
vamos dancar,Dançar
robô dê uma dançadinha,Dançar
dança um pouquinho,Dançar
posso ver você dançando,Dançar
dance de novo,Dançar
mexe a raba,Dançar
desce até o chão,Dançar
mostre-me seus passos,Dançar
agora é hora de dançar,Dançar
dança aí ,Dançar
robo se mova no ritmo da música,Dançar
dance outra musica,Dançar
solta o passinho ,Dançar
balance o esqueleto,Dançar
me mostre seus passos de dança,Dançar
voce pode dançar para mim robô,Dançar
dance comigo ,Dançar
quer dançar outra música,Dançar
mostre seu molejo,Dançar
mostre seu malemolência,Dançar
sacode as engrenagens,Dançar
imagine que estamos numa balada,Dançar
reginaldo dance,Dançar
dança de novo,Dançar
bora fritar,Dançar
robô vamos dançar ,Dançar
segue o beat,Dançar
balance o metal,Dançar
vem rebola,Dançar
hora de se mexer,Dançar
dá uma rebolada,Dançar
rebola ai ,Dançar
dá uma dançadinha,Dançar
